"filename","term","count_in_file"
"./studyguides/introtopartialdifferentiation.qmd","Guide: Introduction to differentiability",1
"./studyguides/introtosimeqs.qmd","Guide: Expanding brackets",1
"./studyguides/introtosimeqs.qmd","Guide: Introduction to linear equations",1
"./studyguides/introtosimeqs.qmd","Guide: Introduction to straight lines",1
"./studyguides/introtottesting.qmd","For more information on other types of testing, see Guide: More on statistical testing",1
"./studyguides/lawsofindices.qmd","3",3
"./studyguides/lawsofindices.qmd","n",3
"./studyguides/lawsofindices.qmd","0.5em",4
"./studyguides/linearregression.qmd","Guide: Biased and unbiased estimators",1
"./studyguides/linearregression.qmd","Guide: Introduction to multiple linear regression",1
"./studyguides/linearregression.qmd","Guide: Maximum likelihood estimation",1
"./studyguides/linearregression.qmd","Guide: Multiple linear regression",1
"./studyguides/linearregression.qmd","Guide: Normal linear regression",1
"./studyguides/linearregression.qmd","Guide: Normal linear regression.",1
"./studyguides/linearregression.qmd","Guide: Introduction to straight lines",2
"./studyguides/linearregression.qmd","Proof: Simple linear regression",3
"./studyguides/matrixmultiplication.qmd","Guide: Introduction to complex numbers",1
"./studyguides/matrixmultiplication.qmd","Guide: Introduction to sigma notation",1
"./studyguides/matrixmultiplication.qmd","Guide: The scalar product",1
"./studyguides/matrixmultiplication.qmd","Overview: Number sets",1
"./studyguides/matrixmultiplication.qmd","Proof: Properties of matrix arithmetic",1
"./studyguides/matrixmultiplication.qmd","Questions: Introduction to matrices",1
"./studyguides/matrixmultiplication.qmd","Guide: Introduction to Gaussian elimination",2
"./studyguides/matrixmultiplication.qmd","Guide: Introduction to solving simultaneous equations",2
"./studyguides/normallinearregression.qmd","Guide: Biased and unbiased estimators",1
"./studyguides/normallinearregression.qmd","Guide: Introduction to Multiple Linear Regression",1
"./studyguides/normallinearregression.qmd","Guide: Maximum likelihood estimation",1
"./studyguides/normallinearregression.qmd","Guide: Multiple linear regression",1
"./studyguides/normallinearregression.qmd","Guide: Multiple linear regression.",1
"./studyguides/normallinearregression.qmd","Guide: Normal linear regression",1
"./studyguides/normallinearregression.qmd","Guide: Normal linear regression.",1
"./studyguides/normallinearregression.qmd","Guide: Transforming data in linear regression",1
"./studyguides/normallinearregression.qmd","Proof sheet: Deriving estimates for regression parameters",1
"./studyguides/normallinearregression.qmd","Proof sheet: Estimating regression parameters in normal linear regression",1
"./studyguides/normallinearregression.qmd","Proof sheet: Estimating Regression Parameters in Normal Linear Regression",1
"./studyguides/normallinearregression.qmd","Proof: variances of regression parameters in normal linear regression",1
"./studyguides/normallinearregression.qmd","Guide: Introduction to straight lines",2
"./studyguides/normallinearregression.qmd","Guide: Likelihood functions",2
"./studyguides/pmfspdfscdfs.qmd","Fact sheet: Discrete random variables versus continuous random variables",1
"./studyguides/pmfspdfscdfs.qmd","Guide: Discrete random variables versus continuous random variables",1
"./studyguides/pmfspdfscdfs.qmd","Guide: Introduction to probability",1
"./studyguides/pmfspdfscdfs.qmd","Guide: Properties of integration",1
"./studyguides/pmfspdfscdfs.qmd","Overview: Probability distributions.",1
"./studyguides/polarcoordinates2D-degrees.qmd","Guide: Hyperbolics",1
"./studyguides/polarcoordinates2D-radians.qmd","Guide: Hyperbolics",1
"./studyguides/productrule.qmd","Proof sheet: Rules of differentiation.",1
"./studyguides/propsofintegration.qmd","For more questions on the subject, please go to Questions: Introduction to integration.",1
"./studyguides/propsofintegration.qmd","Guide: Definite integrals",1
"./studyguides/propsofintegration.qmd","Guide: Properties of integration",1
"./studyguides/propsofintegration.qmd","Guide: Trigonometry and integration",1
"./studyguides/propsofintegration.qmd","Proof sheet: Fundamental Theorem of Calculus",1
"./studyguides/propsofintegration.qmd","Worked examples: Integration",1
"./studyguides/propsofintegration.qmd","Guide: Integration by parts",2
"./studyguides/propsofintegration.qmd","Guide: Integration by substitution",2
"./studyguides/quadraticformula.qmd","1em",1
"./studyguides/quotientrule.qmd","Proof sheet: Rules of differentiation.",1
"./studyguides/rationalizingthedenominator.qmd","Guide: Expanding brackets",1
"./studyguides/rationalizingthedenominator.qmd","Guide: Overview of numbers",1
"./studyguides/scalarproduct.qmd","Guide: Inverse trigonometric functions",1
"./studyguides/solvingeqsindices.qmd","0.5em",11
"./studyguides/trigonometricidentities-degrees.qmd","15,15,15,15,15,15,15,15",1
"./studyguides/trigonometricidentities-degrees.qmd","Guide: Even and odd functions",1
"./studyguides/trigonometricidentities-degrees.qmd","Guide: Multiple revolutions and negative angles",1
"./studyguides/trigonometricidentities-degrees.qmd","Guide: Multiple revolutions and negative values",1
"./studyguides/trigonometricidentities-degrees.qmd","Guide: Trigonometry and integration",1
"./studyguides/trigonometricidentities-degrees.qmd","1em",3
"./studyguides/trigonometricidentities-radians.qmd","15,15,15,15,15,15,15,15",1
"./studyguides/trigonometricidentities-radians.qmd","Guide: Even and odd functions",1
"./studyguides/trigonometricidentities-radians.qmd","Guide: Multiple revolutions and negative angles",1
"./studyguides/trigonometricidentities-radians.qmd","Guide: Multiple revolutions and negative values",1
"./studyguides/trigonometricidentities-radians.qmd","Guide: Trigonometry and integration",1
"./studyguides/trigonometricidentities-radians.qmd","1em",3
"./studyguides/trigonometry-degrees.qmd"," -->
<!--       // Triangle 1: sides 1, √3, 2 (π/6) -->
<!--       { type: ""point"", id: ""A1"", x: 0, y: 0 }, -->
<!--       { type: ""point"", id: ""B1"", x: 2, y: 0 }, -->
<!--       { type: ""point"", id: ""C1"", x: 2, y: sqrt3 }, -->
<!--       { type: ""segment"", points: [""A1"", ""B1""",1
"./studyguides/trigonometry-degrees.qmd","""A2"", ""B2""",1
"./studyguides/trigonometry-degrees.qmd","""A3"", ""B3""",1
"./studyguides/trigonometry-degrees.qmd","""B1"", ""C1""",1
"./studyguides/trigonometry-degrees.qmd","""B2"", ""C2""",1
"./studyguides/trigonometry-degrees.qmd","""B3"", ""C3""",1
"./studyguides/trigonometry-degrees.qmd","""C1"", ""A1""",1
"./studyguides/trigonometry-degrees.qmd","""C1"", ""B1"", ""A1""",1
"./studyguides/trigonometry-degrees.qmd","""C2"", ""A2""",1
"./studyguides/trigonometry-degrees.qmd","""C2"", ""B2"", ""A2""",1
"./studyguides/trigonometry-degrees.qmd","""C3"", ""A3""",1
"./studyguides/trigonometry-degrees.qmd","""C3"", ""B3"", ""A3""",1
"./studyguides/trigonometry-degrees.qmd","(\\cos(t),0), (\\cos(t),\\sin(t))",1
"./studyguides/trigonometry-degrees.qmd","(\\cos(t)+\\sin(t)\\tan(t),0), (\\cos(t),\\sin(t))",1
"./studyguides/trigonometry-degrees.qmd","15,15,15,15,15,15,15,15",1
"./studyguides/trigonometry-degrees.qmd","1em",2
"./studyguides/trigonometry-radians.qmd","(\\cos(t),0), (\\cos(t),\\sin(t))",1
"./studyguides/trigonometry-radians.qmd","(\\cos(t)+\\sin(t)\\tan(t),0), (\\cos(t),\\sin(t))",1
"./studyguides/trigonometry-radians.qmd","15,15,15,15,15,15,15,15",1
"./studyguides/trigonometry-radians.qmd","1em",3
"./VIP2425/SMNpresentationApr2025.qmd","also other resources such as **fact** and **proof** sheets",1
"./VIP2425/SMSNPERpresentationJul2025.qmd","also other resources such as **fact** and **proof** sheets",1
"./VIP2425/VIPpresentation.qmd","also other resources such as **fact** and **proof** sheets",1
"./VIP2425/VIPpresentation.qmd","next Thu",1
